Type,Subtype,Replicate,ID,OverallSurvivalDays,status
ATCC,ATCC2,1,ATCC2_1,1,1
ATCC,ATCC2,2,ATCC2_2,1,1
ATCC,ATCC2,3,ATCC2_3,1,1
ATCC,ATCC2,4,ATCC2_4,1,1
ATCC,ATCC2,5,ATCC2_5,1,1
ATCC,ATCC2,6,ATCC2_6,2,1
ATCC,ATCC2,7,ATCC2_7,2,1
ATCC,ATCC2,8,ATCC2_8,2,1
ATCC,ATCC2,9,ATCC2_9,2,1
ATCC,ATCC2,10,ATCC2_10,3,1
ATCC,ATCC2,11,ATCC2_11,3,1
ATCC,ATCC2,12,ATCC2_12,3,1
ATCC,ATCC2,13,ATCC2_13,3,1
ATCC,ATCC2,14,ATCC2_14,3,1
ATCC,ATCC2,15,ATCC2_15,3,1
ATCC,ATCC2,16,ATCC2_16,4,1
ATCC,ATCC2,17,ATCC2_17,4,1
ATCC,ATCC2,18,ATCC2_18,4,1
ATCC,ATCC2,19,ATCC2_19,4,1
ATCC,ATCC2,20,ATCC2_20,4,1
ATCC,ATCC2,21,ATCC2_21,4,1
ATCC,ATCC2,22,ATCC2_22,4,1
ATCC,ATCC2,23,ATCC2_23,4,1
ATCC,ATCC2,24,ATCC2_24,4,1
ATCC,ATCC2,25,ATCC2_25,5,1
ATCC,ATCC2,26,ATCC2_26,5,1
ATCC,ATCC2,27,ATCC2_27,5,1
ATCC,ATCC2,28,ATCC2_28,5,1
ATCC,ATCC2,29,ATCC2_29,5,1
ATCC,ATCC2,30,ATCC2_30,5,1
ATCC,ATCC2,31,ATCC2_31,5,1
ATCC,ATCC2,32,ATCC2_32,5,1
ATCC,ATCC2,33,ATCC2_33,5,1
ATCC,ATCC2,34,ATCC2_34,6,1
ATCC,ATCC2,35,ATCC2_35,6,1
ATCC,ATCC2,36,ATCC2_36,6,1
ATCC,ATCC2,37,ATCC2_37,6,1
ATCC,ATCC2,38,ATCC2_38,6,1
ATCC,ATCC2,39,ATCC2_39,6,1
ATCC,ATCC2,40,ATCC2_40,7,1
ATCC,ATCC2,41,ATCC2_41,7,1
ATCC,ATCC2,42,ATCC2_42,7,1
ATCC,ATCC2,43,ATCC2_43,7,0
ATCC,ATCC2,44,ATCC2_44,7,0
ATCC,ATCC2,45,ATCC2_45,7,0
ATCC,ATCC2,46,ATCC2_46,7,0
ATCC,ATCC2,47,ATCC2_47,7,0
ATCC,ATCC2,48,ATCC2_48,7,0
ATCC,ATCC2,49,ATCC2_49,7,0
ATCC,ATCC2,50,ATCC2_50,7,0
ATCC,ATCC1,1,ATCC1_1,1,1
ATCC,ATCC1,2,ATCC1_2,1,1
ATCC,ATCC1,3,ATCC1_3,1,1
ATCC,ATCC1,4,ATCC1_4,2,1
ATCC,ATCC1,5,ATCC1_5,2,1
ATCC,ATCC1,6,ATCC1_6,2,1
ATCC,ATCC1,7,ATCC1_7,2,1
ATCC,ATCC1,8,ATCC1_8,2,1
ATCC,ATCC1,9,ATCC1_9,2,1
ATCC,ATCC1,10,ATCC1_10,3,1
ATCC,ATCC1,11,ATCC1_11,3,1
ATCC,ATCC1,12,ATCC1_12,3,1
ATCC,ATCC1,13,ATCC1_13,3,1
ATCC,ATCC1,14,ATCC1_14,3,1
ATCC,ATCC1,15,ATCC1_15,4,1
ATCC,ATCC1,16,ATCC1_16,4,1
ATCC,ATCC1,17,ATCC1_17,4,1
ATCC,ATCC1,18,ATCC1_18,4,1
ATCC,ATCC1,19,ATCC1_19,4,1
ATCC,ATCC1,20,ATCC1_20,4,1
ATCC,ATCC1,21,ATCC1_21,4,1
ATCC,ATCC1,22,ATCC1_22,4,1
ATCC,ATCC1,23,ATCC1_23,4,1
ATCC,ATCC1,24,ATCC1_24,4,1
ATCC,ATCC1,25,ATCC1_25,5,1
ATCC,ATCC1,26,ATCC1_26,5,1
ATCC,ATCC1,27,ATCC1_27,5,1
ATCC,ATCC1,28,ATCC1_28,5,1
ATCC,ATCC1,29,ATCC1_29,5,1
ATCC,ATCC1,30,ATCC1_30,6,1
ATCC,ATCC1,31,ATCC1_31,6,1
ATCC,ATCC1,32,ATCC1_32,6,1
ATCC,ATCC1,33,ATCC1_33,6,1
ATCC,ATCC1,34,ATCC1_34,6,1
ATCC,ATCC1,35,ATCC1_35,6,1
ATCC,ATCC1,36,ATCC1_36,7,1
ATCC,ATCC1,37,ATCC1_37,7,1
ATCC,ATCC1,38,ATCC1_38,7,1
ATCC,ATCC1,39,ATCC1_39,7,1
ATCC,ATCC1,40,ATCC1_40,7,1
ATCC,ATCC1,41,ATCC1_41,7,1
ATCC,ATCC1,42,ATCC1_42,7,0
ATCC,ATCC1,43,ATCC1_43,7,0
ATCC,ATCC1,44,ATCC1_44,7,0
ATCC,ATCC1,45,ATCC1_45,7,0
ATCC,ATCC1,46,ATCC1_46,7,0
ATCC,ATCC1,47,ATCC1_47,7,0
ATCC,ATCC1,48,ATCC1_48,7,0
ATCC,ATCC1,49,ATCC1_49,7,0
ATCC,ATCC1,50,ATCC1_50,7,0
