Type,Subtype,Replicate,ID,OverallSurvivalDays,status
PBS,PBS1,1,PBS1_1,1,1
PBS,PBS1,2,PBS1_2,1,1
PBS,PBS1,3,PBS1_3,4,0
PBS,PBS1,4,PBS1_4,5,0
PBS,PBS1,5,PBS1_5,5,0
PBS,PBS1,6,PBS1_6,5,0
PBS,PBS1,7,PBS1_7,6,1
PBS,PBS1,8,PBS1_8,6,0
PBS,PBS1,9,PBS1_9,6,0
PBS,PBS1,10,PBS1_10,6,0
PBS,PBS1,11,PBS1_11,6,0
PBS,PBS1,12,PBS1_12,6,0
PBS,PBS1,13,PBS1_13,6,0
PBS,PBS1,14,PBS1_14,6,0
PBS,PBS1,15,PBS1_15,6,0
PBS,PBS1,16,PBS1_16,6,0
PBS,PBS1,17,PBS1_17,6,0
PBS,PBS1,18,PBS1_18,6,0
PBS,PBS1,19,PBS1_19,6,0
PBS,PBS1,20,PBS1_20,6,0
PBS,PBS1,21,PBS1_21,6,0
PBS,PBS1,22,PBS1_22,6,0
PBS,PBS1,23,PBS1_23,6,0
PBS,PBS1,24,PBS1_24,6,0
PBS,PBS1,25,PBS1_25,7,1
PBS,PBS1,26,PBS1_26,7,0
PBS,PBS1,27,PBS1_27,7,0
PBS,PBS1,28,PBS1_28,7,0
PBS,PBS1,29,PBS1_29,7,0
PBS,PBS1,30,PBS1_30,7,0
PBS,PBS1,31,PBS1_31,7,0
PBS,PBS1,32,PBS1_32,7,0
PBS,PBS1,33,PBS1_33,7,0
PBS,PBS1,34,PBS1_34,7,0
PBS,PBS1,35,PBS1_35,7,0
PBS,PBS1,36,PBS1_36,7,0
PBS,PBS1,37,PBS1_37,7,0
PBS,PBS1,38,PBS1_38,7,0
PBS,PBS1,39,PBS1_39,7,0
PBS,PBS1,40,PBS1_40,7,0
PBS,PBS1,41,PBS1_41,7,0
PBS,PBS1,42,PBS1_42,7,0
PBS,PBS1,43,PBS1_43,7,0
PBS,PBS1,44,PBS1_44,7,0
PBS,PBS1,45,PBS1_45,7,0
PBS,PBS1,46,PBS1_46,7,0
PBS,PBS1,47,PBS1_47,7,0
PBS,PBS1,48,PBS1_48,7,0
PBS,PBS1,49,PBS1_49,7,0
PBS,PBS1,50,PBS1_50,7,0
PBS,PBS2,1,PBS2_1,3,0
PBS,PBS2,2,PBS2_2,3,0
PBS,PBS2,3,PBS2_3,3,0
PBS,PBS2,4,PBS2_4,4,1
PBS,PBS2,5,PBS2_5,4,0
PBS,PBS2,6,PBS2_6,5,0
PBS,PBS2,7,PBS2_7,5,0
PBS,PBS2,8,PBS2_8,5,0
PBS,PBS2,9,PBS2_9,5,0
PBS,PBS2,10,PBS2_10,5,0
PBS,PBS2,11,PBS2_11,5,0
PBS,PBS2,12,PBS2_12,5,0
PBS,PBS2,13,PBS2_13,5,0
PBS,PBS2,14,PBS2_14,6,1
PBS,PBS2,15,PBS2_15,6,0
PBS,PBS2,16,PBS2_16,6,0
PBS,PBS2,17,PBS2_17,6,0
PBS,PBS2,18,PBS2_18,6,0
PBS,PBS2,19,PBS2_19,6,0
PBS,PBS2,20,PBS2_20,6,0
PBS,PBS2,21,PBS2_21,6,0
PBS,PBS2,22,PBS2_22,6,0
PBS,PBS2,23,PBS2_23,7,1
PBS,PBS2,24,PBS2_24,7,0
PBS,PBS2,25,PBS2_25,7,0
PBS,PBS2,26,PBS2_26,7,0
PBS,PBS2,27,PBS2_27,7,0
PBS,PBS2,28,PBS2_28,7,0
PBS,PBS2,29,PBS2_29,7,0
PBS,PBS2,30,PBS2_30,7,0
PBS,PBS2,31,PBS2_31,7,0
PBS,PBS2,32,PBS2_32,7,0
PBS,PBS2,33,PBS2_33,7,0
PBS,PBS2,34,PBS2_34,7,0
PBS,PBS2,35,PBS2_35,7,0
PBS,PBS2,36,PBS2_36,7,0
PBS,PBS2,37,PBS2_37,7,0
PBS,PBS2,38,PBS2_38,7,0
PBS,PBS2,39,PBS2_39,7,0
PBS,PBS2,40,PBS2_40,7,0
PBS,PBS2,41,PBS2_41,7,0
PBS,PBS2,42,PBS2_42,7,0
PBS,PBS2,43,PBS2_43,7,0
PBS,PBS2,44,PBS2_44,7,0
PBS,PBS2,45,PBS2_45,7,0
PBS,PBS2,46,PBS2_46,7,0
PBS,PBS2,47,PBS2_47,7,0
PBS,PBS2,48,PBS2_48,7,0
PBS,PBS2,49,PBS2_49,7,0
PBS,PBS2,50,PBS2_50,7,0
