Type,Subtype,Replicate,ID,OverallSurvivalDays,status
SC,SC1,1,SC1_1,1,1
SC,SC4,1,SC4_1,1,1
SC,SC1,2,SC1_2,2,1
SC,SC2,1,SC2_1,2,1
SC,SC3,1,SC3_1,2,1
SC,SC4,2,SC4_2,2,1
SC,SC5,1,SC5_1,2,1
SC,SC5,2,SC5_2,2,1
SC,SC1,3,SC1_3,3,1
SC,SC1,4,SC1_4,3,1
SC,SC1,5,SC1_5,3,1
SC,SC1,6,SC1_6,3,1
SC,SC1,7,SC1_7,3,1
SC,SC1,8,SC1_8,3,1
SC,SC1,9,SC1_9,3,1
SC,SC2,2,SC2_2,3,1
SC,SC2,3,SC2_3,3,1
SC,SC2,4,SC2_4,3,1
SC,SC2,5,SC2_5,3,1
SC,SC3,2,SC3_2,3,1
SC,SC3,3,SC3_3,3,1
SC,SC3,4,SC3_4,3,1
SC,SC3,5,SC3_5,3,1
SC,SC3,6,SC3_6,3,1
SC,SC3,7,SC3_7,3,1
SC,SC3,8,SC3_8,3,1
SC,SC3,9,SC3_9,3,1
SC,SC3,10,SC3_10,3,1
SC,SC3,11,SC3_11,3,1
SC,SC4,3,SC4_3,3,1
SC,SC4,4,SC4_4,3,1
SC,SC4,5,SC4_5,3,1
SC,SC4,6,SC4_6,3,1
SC,SC4,7,SC4_7,3,1
SC,SC4,8,SC4_8,3,1
SC,SC4,9,SC4_9,3,1
SC,SC4,10,SC4_10,3,1
SC,SC5,3,SC5_3,3,1
SC,SC5,4,SC5_4,3,1
SC,SC5,5,SC5_5,3,1
SC,SC5,6,SC5_6,3,1
SC,SC5,7,SC5_7,3,1
SC,SC2,6,SC2_6,4,1
SC,SC3,12,SC3_12,4,1
SC,SC3,13,SC3_13,4,1
SC,SC3,14,SC3_14,4,1
SC,SC3,15,SC3_15,4,1
SC,SC3,16,SC3_16,4,1
SC,SC3,17,SC3_17,4,1
SC,SC4,11,SC4_11,4,1
SC,SC4,12,SC4_12,4,1
SC,SC4,13,SC4_13,4,1
SC,SC4,14,SC4_14,4,1
SC,SC4,15,SC4_15,4,1
SC,SC5,8,SC5_8,4,1
SC,SC5,9,SC5_9,4,1
SC,SC5,10,SC5_10,4,1
SC,SC5,11,SC5_11,4,1
SC,SC1,10,SC1_10,4,1
SC,SC1,11,SC1_11,4,1
